iter	Logloss
0	0.6808807712
1	0.6701669784
2	0.6601101609
3	0.6492958765
4	0.6393876217
5	0.6304476601
6	0.6217788188
7	0.6141792192
8	0.6061756156
9	0.599419574
10	0.5928416014
11	0.5863524558
12	0.5802544568
13	0.5749524098
14	0.5695165383
15	0.5645880834
16	0.5596169555
17	0.5547166415
18	0.5501620165
19	0.5459025683
20	0.542255032
21	0.5385987143
22	0.5349737314
23	0.5312245901
24	0.52788696
25	0.5246501109
26	0.5218740462
27	0.5190756098
28	0.5164393878
29	0.5134195216
30	0.510642464
31	0.5077294887
32	0.5055544716
33	0.5035743757
34	0.5013840091
35	0.4991334007
36	0.4970132087
37	0.495254461
38	0.493370518
39	0.4914778559
40	0.4892453226
41	0.4877915621
42	0.4866097043
43	0.4849711047
44	0.4832081289
45	0.4819481544
46	0.4806635284
47	0.4793089283
48	0.477224113
49	0.4762340368
50	0.4743318687
51	0.4739606242
52	0.4730985112
53	0.4720671597
54	0.4711798532
55	0.4702002882
56	0.4692501665
57	0.4680747742
58	0.4666792007
59	0.4660820975
60	0.4654599652
61	0.4645420604
62	0.4633996995
63	0.4625477397
64	0.4617606634
65	0.4610696593
66	0.4601487208
67	0.4592160486
68	0.4586045513
69	0.4581854352
70	0.4571016516
71	0.4560912397
72	0.4554008047
73	0.4549742615
74	0.4538908152
75	0.4531851612
76	0.4525317749
77	0.4516636681
78	0.4510330881
79	0.4501966185
80	0.4496943062
81	0.4491348943
82	0.4483180283
83	0.4479496182
84	0.4473304471
85	0.4463900618
86	0.4457998705
87	0.4450488089
88	0.4441686906
89	0.4433714631
90	0.4425631703
91	0.4422649649
92	0.4415806905
93	0.441152704
94	0.4406258763
95	0.4397213259
96	0.4396006098
97	0.4389207766
98	0.4380820665
99	0.4378730154
100	0.4371869432
101	0.4368579224
102	0.436178612
103	0.4358059102
104	0.4351273418
105	0.4345801246
106	0.4339586452
107	0.4332798901
108	0.4329708093
109	0.4323728688
110	0.4318190207
111	0.4313527224
112	0.4308934437
113	0.4308178255
114	0.4304878712
115	0.4300411738
116	0.4296467332
117	0.4292723747
118	0.4288311648
119	0.4279996503
120	0.4272937141
121	0.4269255699
122	0.4269064144
123	0.4261427819
124	0.4258091667
125	0.4251594193
126	0.4244165636
127	0.4241167643
128	0.4235187649
129	0.423457468
130	0.4228117941
131	0.422396602
132	0.4218611575
133	0.4213666641
134	0.4204461499
135	0.4197694567
136	0.4193603472
137	0.4192013648
138	0.4187029158
139	0.4181002434
140	0.41772291
141	0.4174265462
142	0.4169002654
143	0.4167101057
144	0.4157067107
145	0.415373563
146	0.4148493282
147	0.4147363732
148	0.4147253208
149	0.4144702603
150	0.4141023109
151	0.4138857304
152	0.4136132177
153	0.4133202392
154	0.4131295867
155	0.412603576
156	0.411988714
157	0.4113376511
158	0.4112255864
159	0.4110284493
160	0.4106638623
161	0.4102975979
162	0.4097440807
163	0.4095037862
164	0.4092115133
165	0.4089374161
166	0.4085624199
167	0.4080133605
168	0.4076110166
169	0.4073968922
170	0.4071786766
171	0.4068164574
172	0.4067144566
173	0.4062005729
174	0.406027272
175	0.40600041
176	0.4058214682
177	0.4054322867
178	0.4051542959
179	0.4051380613
180	0.4046534657
181	0.4040064801
182	0.4033697735
183	0.4032545151
184	0.4030133751
185	0.4028129598
186	0.4026278642
187	0.4025826421
188	0.4019484639
189	0.4014570259
190	0.4006579501
191	0.4005001199
192	0.4003085044
193	0.4000440073
194	0.399756708
195	0.3992977148
196	0.398953641
197	0.3983155184
198	0.3982839888
199	0.3982162588
200	0.3981885858
201	0.3978871582
202	0.3973438122
203	0.3970836512
204	0.3967021442
205	0.3965534606
206	0.3961323412
207	0.3957832325
208	0.3949530535
209	0.3945895321
210	0.394389722
211	0.3938336898
212	0.3937929457
213	0.3937756342
214	0.3934245185
215	0.3931770678
216	0.3928921923
217	0.3927157668
218	0.3925485342
219	0.3923062387
220	0.3920054851
221	0.3917115157
222	0.3915440877
223	0.3911055676
224	0.3909894663
225	0.3906161493
226	0.3905315489
227	0.3901934394
228	0.3898607252
229	0.3898418993
230	0.3896306868
231	0.3894729278
232	0.3889440675
233	0.3887375261
234	0.3883304526
235	0.3880080562
236	0.387521758
237	0.3874932371
238	0.3871826118
239	0.386841692
240	0.3866731069
241	0.386668418
242	0.3861077527
243	0.3860256784
244	0.3854045721
245	0.3851826392
246	0.384717708
247	0.3842906132
248	0.3841582329
249	0.384098238
250	0.3837833734
251	0.3836423458
252	0.3832701139
253	0.3829816764
254	0.3826759947
255	0.3821444196
256	0.3821179126
257	0.3819033948
258	0.3816006614
259	0.3813961716
260	0.381095432
261	0.3808972001
262	0.3806044547
263	0.380216404
264	0.3801384237
265	0.3798568251
266	0.3796013334
267	0.3793029232
268	0.3788997551
269	0.3786608927
270	0.3783473746
271	0.3781703497
272	0.378009903
273	0.3776091159
274	0.3775190983
275	0.3773392771
276	0.3766589375
277	0.3760383538
278	0.37580639
279	0.3755951487
280	0.3754220645
281	0.3750837278
282	0.3749958903
283	0.3748709179
284	0.3746617711
285	0.3744641412
286	0.3741309739
287	0.3738439035
288	0.373573821
289	0.3734710908
290	0.3732706554
291	0.3728352224
292	0.3724796186
293	0.3720720834
294	0.3719007231
295	0.3714370188
296	0.3710010927
297	0.3709761372
298	0.3707635295
299	0.3707633843
300	0.3704848805
301	0.3701648044
302	0.3700771211
303	0.3698325989
304	0.369731192
305	0.3696229852
306	0.3693467882
307	0.3690990904
308	0.3685755587
309	0.3685397156
310	0.3678793388
311	0.367743159
312	0.3673613782
313	0.3668924099
314	0.3663533622
315	0.366116383
316	0.3656354255
317	0.3655167801
318	0.3653683186
319	0.3652090994
320	0.3649047384
321	0.3647749572
322	0.364476289
323	0.3643170633
324	0.3640981731
325	0.3636567042
326	0.3635721335
327	0.3633501751
328	0.3631739125
329	0.3628986856
330	0.3624791659
331	0.3623768493
332	0.3620418027
333	0.3620320874
334	0.3619294524
335	0.3615027728
336	0.3611325902
337	0.3610900754
338	0.3608562096
339	0.3606871932
340	0.3606096304
341	0.3600602996
342	0.359781034
343	0.3594948636
344	0.3589663967
345	0.3588871837
346	0.3585097968
347	0.3580924691
348	0.3579768945
349	0.3579632305
350	0.3576959679
351	0.3573637973
352	0.3567015355
