iter	Logloss
353	0.3565390728
354	0.3562150859
355	0.3560173055
356	0.3559029911
357	0.355560433
358	0.355476286
359	0.3553284653
360	0.3552796692
361	0.3550552626
362	0.354670688
363	0.3543815204
364	0.3541520407
365	0.3539957651
366	0.3539042238
367	0.3537311646
368	0.3533996472
369	0.3533891189
370	0.3526972973
371	0.352566717
372	0.3524031384
373	0.3522714408
374	0.3518611035
375	0.351623182
376	0.3514314383
377	0.3513390362
378	0.3508138095
379	0.3506446656
380	0.3503456869
381	0.3498594542
382	0.3498591048
383	0.3496502285
384	0.3496329538
385	0.3494448724
386	0.3489733747
387	0.348773117
388	0.348577045
389	0.3484482794
390	0.3479495607
391	0.3475562262
392	0.3472345788
393	0.3470224243
394	0.3467580132
395	0.346651193
396	0.3463176263
397	0.3462547187
398	0.3459677246
399	0.345952597
400	0.3458491931
401	0.3452409102
402	0.3450969805
403	0.3449897696
404	0.3447763013
405	0.3445467697
406	0.3438849727
407	0.3436273451
408	0.3428743112
409	0.3426137377
410	0.3421227965
411	0.3418838456
412	0.3418711757
413	0.3418673395
414	0.3416043045
415	0.3415143467
416	0.3413047474
417	0.3411068454
418	0.3407401292
419	0.3405911074
420	0.3402355358
421	0.3398764889
422	0.3396410103
423	0.3392838569
424	0.3390803192
425	0.3389543389
426	0.3388057032
427	0.3383358046
428	0.3382428144
429	0.3379364738
430	0.3376675156
431	0.3373482943
432	0.3369884255
433	0.3366343173
434	0.3364609485
435	0.3364605243
436	0.3361058907
437	0.3359186906
438	0.3356059513
439	0.3354561071
440	0.335318015
441	0.3351452021
442	0.334769064
443	0.3345542456
444	0.3343838174
445	0.3342815692
446	0.3341301647
447	0.3338533238
448	0.3336576605
449	0.3334030318
450	0.3330751556
451	0.332973023
452	0.3329195802
453	0.3327407432
454	0.3323462418
455	0.3322713662
456	0.3319543631
457	0.3316075574
458	0.3311926405
459	0.3310797991
460	0.3310740795
461	0.3309816337
462	0.3306272725
463	0.3303666151
464	0.3301315396
465	0.3300561935
466	0.3298470234
467	0.3296411908
468	0.3295612623
469	0.3293500426
470	0.3290864453
471	0.3286780364
472	0.3282743158
473	0.3278976065
474	0.3276937244
475	0.3274513684
476	0.3272046608
477	0.3269343806
478	0.3267081231
479	0.3265760933
480	0.326552947
481	0.3258558726
482	0.3257799909
483	0.3255314849
484	0.325333038
485	0.3249959279
486	0.3249638882
487	0.3245165457
488	0.3242753126
489	0.324176567
490	0.3240099559
491	0.3236081434
492	0.323500437
493	0.3232713613
494	0.3230197585
495	0.3228870071
496	0.3228808152
497	0.3226803599
498	0.3223483923
499	0.3221547282
500	0.3221139909
501	0.3217590812
502	0.3216340329
503	0.3214432346
504	0.3212794279
505	0.3209235209
506	0.3204854756
507	0.3202231263
508	0.3201524867
509	0.3199957478
510	0.3197720862
511	0.31964719
512	0.3196430814
513	0.3190779994
514	0.318808472
515	0.318558496
516	0.3182734238
517	0.3180604519
518	0.3178441521
519	0.3174720275
520	0.3171431185
521	0.316710843
522	0.3167008937
523	0.31641734
524	0.3163299603
525	0.3159721233
526	0.315678122
527	0.3155470795
528	0.315293363
529	0.3148769179
530	0.3147851596
531	0.3143935435
532	0.3141684533
533	0.3140214247
534	0.3134530938
535	0.3130027948
536	0.3129372314
537	0.3126380631
538	0.3124682101
539	0.3118023407
540	0.3115921872
541	0.3112925151
542	0.3112850542
543	0.3107308541
544	0.3103159734
545	0.3102040327
546	0.3100738226
547	0.3098689436
548	0.3098123411
549	0.3094950841
550	0.3094823609
551	0.3091152139
552	0.308650488
553	0.3083951964
554	0.3081122392
555	0.30785602
556	0.3076942464
557	0.3074558617
558	0.3073487637
559	0.3072321578
560	0.307075008
561	0.3067662711
562	0.3062132068
563	0.3059068541
564	0.3055834966
565	0.3055174172
566	0.3053417937
567	0.3050373258
568	0.3047135879
569	0.3045064716
570	0.3039828363
571	0.3037950189
572	0.3036834778
573	0.3034172724
574	0.3031936237
575	0.3031640788
576	0.3028376222
577	0.3022257805
578	0.3020586959
579	0.3018313392
580	0.3013844931
581	0.3011260763
582	0.3009775703
583	0.3006876764
584	0.3003488382
585	0.3000042779
586	0.2997437321
587	0.299352864
588	0.2992084055
589	0.2988965034
590	0.2988900849
591	0.2984012795
592	0.2981616112
593	0.2981265169
594	0.2977180753
595	0.2976241398
596	0.2973970108
597	0.2973408217
598	0.2973335452
599	0.2970693005
600	0.2968896974
601	0.2965962068
602	0.2962806993
603	0.295873633
604	0.295838274
605	0.2956292507
