iter	Passed	Remaining
414	3293	12578
415	3302	12573
416	3310	12565
417	3319	12561
418	3326	12553
419	3334	12545
420	3343	12539
421	3351	12533
422	3359	12525
423	3367	12516
424	3374	12506
425	3383	12499
426	3389	12487
427	3398	12483
428	3407	12479
429	3418	12480
430	3428	12482
431	3442	12493
432	3452	12494
433	3461	12489
434	3469	12481
435	3474	12463
436	3481	12452
437	3489	12446
438	3499	12443
439	3507	12436
440	3514	12425
441	3522	12417
442	3531	12413
443	3539	12405
444	3547	12395
445	3555	12388
446	3564	12382
447	3573	12379
448	3581	12373
449	3589	12364
450	3598	12357
451	3606	12351
452	3614	12344
453	3623	12339
454	3632	12335
455	3641	12328
456	3649	12321
457	3657	12313
458	3665	12307
459	3674	12302
460	3681	12290
461	3694	12299
462	3708	12312
463	3724	12328
464	3736	12335
465	3747	12337
466	3761	12346
467	3772	12350
468	3786	12359
469	3795	12357
470	3809	12367
471	3822	12375
472	3834	12378
473	3845	12379
474	3857	12384
475	3868	12384
476	3877	12381
477	3887	12378
478	3899	12382
479	3911	12387
480	3923	12391
481	3936	12397
482	3948	12402
483	3962	12411
484	3970	12402
485	3987	12421
486	3998	12423
487	4011	12428
488	4022	12429
489	4036	12439
490	4047	12438
491	4062	12450
492	4076	12461
493	4088	12464
494	4099	12464
495	4111	12467
496	4125	12474
497	4139	12484
498	4154	12496
499	4167	12501
500	4177	12500
501	4192	12511
502	4203	12510
503	4215	12512
504	4227	12516
505	4239	12516
506	4251	12519
507	4264	12524
508	4280	12537
509	4294	12547
510	4308	12554
511	4321	12557
512	4331	12555
513	4344	12559
514	4358	12567
515	4370	12569
516	4387	12586
517	4405	12604
518	4421	12617
519	4434	12622
520	4448	12628
521	4461	12631
522	4472	12629
523	4484	12632
524	4496	12633
525	4510	12638
526	4522	12639
527	4534	12642
528	4547	12645
529	4561	12651
530	4576	12660
531	4589	12664
532	4603	12669
533	4617	12675
534	4630	12679
535	4644	12684
536	4656	12685
537	4669	12688
538	4682	12691
539	4694	12692
540	4709	12700
541	4722	12703
542	4735	12706
543	4748	12708
544	4760	12710
545	4775	12718
546	4790	12726
547	4805	12733
548	4819	12737
549	4833	12743
550	4848	12750
551	4864	12759
552	4877	12761
553	4889	12763
554	4901	12760
555	4913	12761
556	4926	12762
557	4938	12761
558	4950	12761
559	4963	12762
560	4975	12763
561	4987	12760
562	4998	12757
563	5011	12758
564	5023	12758
565	5036	12761
566	5048	12758
567	5059	12756
568	5072	12758
569	5086	12760
570	5098	12759
571	5110	12757
572	5121	12755
573	5132	12751
574	5144	12750
575	5157	12750
576	5169	12750
577	5182	12749
578	5195	12750
579	5207	12749
580	5219	12747
581	5232	12748
582	5244	12748
583	5257	12747
584	5271	12751
585	5283	12749
586	5296	12750
587	5310	12752
588	5324	12755
589	5336	12754
590	5348	12752
591	5361	12751
592	5373	12750
593	5385	12747
594	5396	12743
595	5408	12741
596	5421	12740
597	5437	12748
598	5451	12750
599	5463	12747
600	5475	12744
601	5489	12747
602	5502	12747
603	5515	12747
604	5530	12753
605	5545	12755
